2015-05-27 16:56:25 INFO  HomeController:19 - Żyję!!!
2015-05-27 17:32:56 INFO  LoginController:57 - Username: ewwd
2015-05-27 17:32:56 INFO  LoginController:58 - Password: 87865
2015-05-27 17:35:43 INFO  LoginController:38 - Dodalem uzytkownika
2015-05-27 17:35:43 INFO  LoginController:38 - Dodalem uzytkownika
2015-05-27 17:36:50 INFO  LoginController:60 - Username: admin
2015-05-27 17:36:50 INFO  LoginController:61 - Password: admin
2015-05-27 17:37:19 INFO  LoginController:38 - Dodalem uzytkownika
2015-05-27 17:38:17 INFO  LoginController:38 - Dodalem uzytkownika
2015-05-27 17:40:26 INFO  LoginController:58 - Username: admin
2015-05-27 17:40:26 INFO  LoginController:59 - Password: admin
